data;tipo;pessoa;cargo_id;cargo;interino;fonte
2026-01-01;posse;Andréa Cunha Esmeraldo;br-conselheiro-do-cnj;Conselheiro do Conselho Nacional de Justiça;não;https://pt.wikipedia.org/wiki/Conselho_Nacional_de_Justi%C3%A7a
2026-01-01;posse;Ilan Presser;br-conselheiro-do-cnj;Conselheiro do Conselho Nacional de Justiça;não;https://pt.wikipedia.org/wiki/Conselho_Nacional_de_Justi%C3%A7a
2026-01-01;posse;Paulo Regis Machado Botelho;br-conselheiro-do-cnj;Conselheiro do Conselho Nacional de Justiça;não;https://pt.wikipedia.org/wiki/Conselho_Nacional_de_Justi%C3%A7a
2026-01-01;posse;Noemia Aparecida Garcia Porto;br-conselheiro-do-cnj;Conselheiro do Conselho Nacional de Justiça;não;https://pt.wikipedia.org/wiki/Conselho_Nacional_de_Justi%C3%A7a
2026-01-01;posse;Carlos Vinícius Alves Ribeiro;br-conselheiro-do-cnj;Conselheiro do Conselho Nacional de Justiça;não;https://pt.wikipedia.org/wiki/Conselho_Nacional_de_Justi%C3%A7a
2025-12-16;posse;Ricardo Villas Bôas Cueva;br-tribunal-superior-eleitoral-ministro;Ministro do Tribunal Superior Eleitoral;não;https://www.tse.jus.br/institucional/ministros
2025-11-28;posse;Flavio Marcus Lancia Barbosa;br-superior-tribunal-militar-ministro;Ministro do Superior Tribunal Militar;não;https://www.stm.jus.br/institucional/conheca-o-superior-tribunal-militar/composicao-da-corte
2025-11-27;posse;Anisio David de Oliveira Junior;br-superior-tribunal-militar-ministro;Ministro do Superior Tribunal Militar;não;https://www.stm.jus.br/institucional/conheca-o-superior-tribunal-militar/composicao-da-corte
2025-11-12;sabatina;Paulo Gustavo Gonet Branco;br-procurador-geral-da-republica;Procurador-Geral da República;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/170323
2025-11-12;sabatina;Renata Lúcia Medeiros de Albuquerque Emerenciano;br-ana-dirigente;Diretor-Presidente da ANA;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/170893
2025-11-12;sabatina;Anisio David de Oliveira Junior;br-superior-tribunal-militar-ministro;Ministro do Superior Tribunal Militar;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/171353
2025-11-12;sabatina;Flavio Marcus Lancia Barbosa;br-superior-tribunal-militar-ministro;Ministro do Superior Tribunal Militar;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/171354
2025-11-12;sabatina;Severino Medeiros Ramos Neto;br-antt-diretor;Diretor da ANTT;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/171426
2025-09-29;posse;Edson Fachin;br-supremo-tribunal-federal-presidente;Presidente do Supremo Tribunal Federal;não;https://portal.stf.jus.br/textos/verTexto.asp?servico=bibliotecaConsultaProdutoBibliotecaPastaMinistro&pagina=ComposicaoAtual
2025-09-29;posse;Edson Fachin;br-presidente-do-cnj;Presidente do Conselho Nacional de Justiça;não;https://portal.stf.jus.br/textos/verTexto.asp?servico=bibliotecaConsultaProdutoBibliotecaPastaMinistro&pagina=ComposicaoAtual
2025-09-04;posse;Maria Marluce Caldas Bezerra;br-superior-tribunal-de-justica-ministro;Ministro do Superior Tribunal de Justiça;não;https://pt.wikipedia.org/wiki/Superior_Tribunal_de_Justi%C3%A7a
2025-09-04;posse;Carlos Augusto Pires Brandão;br-superior-tribunal-de-justica-ministro;Ministro do Superior Tribunal de Justiça;não;https://pt.wikipedia.org/wiki/Superior_Tribunal_de_Justi%C3%A7a
2025-09-02;posse;Patrícia Barcelos;br-ancine-diretor;Diretor da Ancine;não;https://www.gov.br/ancine/pt-br/assuntos/diretoria-colegiada/diretores
2025-09-01;posse;José Fernando Gomes Júnior;br-anm-diretor;Diretor da ANM;não;https://www.gov.br/anm/pt-br/acesso-a-informacao/institucional/quem-e-quem/diretores
2025-08-29;posse;Artur Watt Neto;br-anp-dirigente;Diretor-Geral da ANP;não;https://www.gov.br/anp/pt-br/composicao/diretoria-colegiada/composicao-diretoria-colegiada
