id;nome;viagens;diarias;passagens;total;exterior
br-p-fabiano-geraldo-pimenta-junior;Fabiano Geraldo Pimenta Junior;8;6726,78;36992,61;43719,39;0
br-p-mirna-quindere-belmino-chaves;Mirna Quinderé Belmino Chaves;1;1275,68;6611,39;7887,07;0
br-p-carlos-roberto-queiroz-tome-junior;Carlos Roberto Queiroz Tomé Junior;6;2464,64;17874,11;20338,75;0
br-p-augusto-henrique-alves-rabelo;Augusto Henrique Alves Rabelo;23;29866,57;128361,61;158228,18;1
br-p-marcos-daniel-souza-dos-santos;Marcos Daniel Souza dos Santos;12;12437,26;43346,61;55783,87;1
br-p-vitor-araripe-freire-pacheco;Vitor Araripe Freire Pacheco;9;12463,04;44526,18;56989,22;0
br-p-marcio-leao-coelho;Márcio Leão Coelho;11;11349,98;43879,07;55229,05;0
br-p-sonia-faustino-mendes;Sônia Faustino Mendes;16;36293,49;83140,98;119434,47;2
br-p-wilson-diniz-wellisch;Wilson Diniz Wellisch;6;22950,65;60324,68;83275,33;1
br-p-hermano-barros-tercius;Hermano Barros Tercius;17;42256,99;134224,71;176481,70;2
br-p-eutalia-barbosa-rodrigues-naves;Eutália Barbosa Rodrigues Naves;14;30236,12;112412,07;142648,19;1
br-p-sandra-kennedy-viana;Sandra Kennedy Viana;15;22280,81;69360,31;91641,12;1
br-p-joana-celia-dos-passos;Joana Célia dos Passos;17;19106,50;74250,13;93356,63;0
br-p-maria-laura-da-rocha;Maria Laura da Rocha;3;8746,85;48518,48;57265,33;1
br-p-gustavo-cerqueira-ataide;Gustavo Cerqueira Ataide;5;4638,92;16243,01;20881,93;0
br-p-joao-daniel-de-andrade-cascalho;João Daniel de Andrade Cascalho;8;4657,34;28850,62;33507,96;0
br-p-renato-cabral-dias-dutra;Renato Cabral Dias Dutra;13;12940,51;53949,62;66890,13;0
br-p-mariana-de-assis-especie;Mariana de Assis Especie;3;3123,24;11839,86;14963,10;0
br-p-thairyne-jessica-martins-de-oliveira;Thairyne Jessica Martins de Oliveira;15;12824,93;39273,44;52098,37;1
br-p-daniel-ramos-longo;Daniel Ramos Longo;19;15753,10;54286,03;70039,13;3
br-p-otto-luiz-burlier-da-silveira-filho;Otto Luiz Burlier da Silveira Filho;15;40127,28;46204,72;86332,00;3
br-p-alex-sandro-de-avila;Alex Sandro de Avila;13;9283,05;12639,15;21922,20;1
br-p-eric-sousa-moura;Eric Sousa Moura;23;34880,15;112022,65;146902,80;1
br-p-ana-terra-reis;Ana Terra Reis;22;26734,48;106808,80;133543,28;2
br-p-vanderley-ziger;Vanderley Ziger;14;19339,97;68516,02;87855,99;1
br-p-moises-savian;Moisés Savian;11;18099,01;49611,12;67710,13;1
br-p-edmilton-cerqueira;Edmilton Cerqueira;12;14354,25;39798,87;54153,12;0
br-p-rodrigo-zerbone-loureiro;Rodrigo Zerbone Loureiro;5;5187,38;23199,29;28386,67;0
br-p-tatiana-lacerda-prazeres;Tatiana Lacerda Prazeres;16;21133,60;34830,34;55963,94;1
br-p-uallace-moreira-lima;Uallace Moreira Lima;26;38375,42;165779,93;204155,35;2
br-p-julia-cortez-da-cunha-cruz;Julia Cortez da Cunha Cruz;9;9501,16;24637,56;34138,72;1
br-p-osmar-ribeiro-de-almeida-junior;Osmar Ribeiro de Almeida Júnior;17;14038,15;179849,23;193887,38;1
br-p-valeria-torres-amaral-burity;Valéria Torres Amaral Burity;12;25815,13;47646,07;73461,20;1
br-p-lais-wendel-abramo;Laís Wendel Abramo;10;10611,79;42630,30;53242,09;0
br-p-rosilene-cristina-rocha;Rosilene Cristina Rocha;9;20348,77;58428,68;78777,45;0
br-p-amarildo-baesso;Amarildo Baesso;8;8769,38;25722,19;34491,57;1
br-p-analucia-faggion-alonso;Analúcia Faggion Alonso;10;12916,61;41670,63;54587,24;0
br-p-eliane-aquino-custodio;Eliane Aquino Custodio;15;20383,89;65699,08;86082,97;1
br-p-lilian-dos-santos-rahal;Lilian dos Santos Rahal;21;17467,99;93812,94;111280,93;0
br-p-rafael-guerreiro-osorio;Rafael Guerreiro Osório;9;6906,69;26150,42;33057,11;0
br-p-luiz-carlos-everton-de-farias;Luiz Carlos Everton de Farias;23;28165,20;108223,45;136388,65;0
br-p-ivo-de-almeida-ico-filho;Ivo de Almeida Icó Filho;4;3888,63;30393,49;34282,12;0
br-p-juliana-picoli-agatte;Juliana Picoli Agatte;13;13209,48;60852,17;74061,65;0
br-p-giovanni-rocco-neto;Giovanni Rocco Neto;2;2375,59;3846,98;6222,57;0
br-p-ludmila-ferreira-martins-costa-abadia;Ludmila Ferreira Martins Costa Abadia;6;5457,20;27221,80;32679,00;0
br-p-fabio-augusto-lima-de-araujo;Fabio Augusto Lima de Araujo;12;23212,44;47426,32;70638,76;1
br-p-anna-flavia-de-senna-franco;Anna Flávia de Senna Franco;2;2667,09;9034,37;11701,46;0
br-p-andre-rodolfo-de-lima;André Rodolfo de Lima;5;6116,38;10034,99;16151,37;0
br-p-rita-de-cassia-guimaraes-mesquita;Rita de Cássia Guimarães Mesquita;5;5632,50;30377,30;36009,80;0
br-p-carina-mendonca-pimenta;Carina Mendonça Pimenta;10;22826,53;41191,88;64018,41;2
br-p-adalberto-felicio-maluf-filho;Adalberto Felício Maluf Filho;14;9765,06;18626,98;28392,04;4
br-p-aloisio-lopes-pereira-de-melo;Aloisio Lopes Pereira de Melo;11;74661,46;66537,54;141199,00;5
br-p-edel-nazare-santiago-de-moraes;Edel Nazaré Santiago de Moraes;7;29665,29;51703,71;81369,00;1
br-p-guilherme-santos-mello;Guilherme Santos Mello;16;7213,22;29680,68;36893,90;0
br-p-tatiana-lemos-sandim;Tatiana Lemos Sandim;2;9799,50;2802,43;12601,93;1
br-p-antonio-negromonte-nascimento-junior;Antônio Negromonte Nascimento Junior;1;501,64;0,00;501,64;0
br-p-otavio-augusto-ferreira-ventura;Otávio Augusto Ferreira Ventura;1;9575,68;0,00;9575,68;1
br-p-clayton-luiz-montes;Clayton Luiz Montes;1;8659,42;0,00;8659,42;1
br-p-francisco-macena-da-silva;Francisco Macena da Silva;11;15061,43;98566,02;113627,45;1
br-p-henrique-eduardo-medeiros-aquino;Henrique Eduardo Medeiros Aquino;14;13202,13;58677,36;71879,49;0
br-p-luiz-henrique-ramos-lopes;Luiz Henrique Ramos Lopes;12;10428,10;17395,17;27823,27;1
